1,20000,0,10000,0,30000,0,10000,0,20000
2,20001,0,10001,0,30001,0,10001,0,20001
3,20002,0,10002,0,30002,0,10002,0,20002
4,20003,0,10003,0,30003,0,10003,0,20003
5,20004,0,10004,0,30004,0,10004,0,20004
6,20005,0,10005,0,30005,0,10005,0,20005
7,20006,0,10006,0,30006,0,10006,0,20006
8,20007,0,10007,0,30007,0,10007,0,20007
9,20008,0,10008,0,30008,0,10008,0,20008
10,20009,0,10009,0,30009,0,10009,0,20009
11,20010,0,10010,0,30010,0,10010,0,20010
12,20011,0,10011,0,30011,0,10011,0,20011
13,20012,0,10012,0,30012,0,10012,0,20012
14,20013,0,10013,0,30013,0,10013,0,20013
15,20014,0,10014,0,30014,0,10014,0,20014
16,20015,0,10015,0,30015,0,10015,0,20015
17,20016,0,10016,0,30016,0,10016,0,20016
18,20017,0,10017,0,30017,0,10017,0,20017
19,20018,0,10018,0,30018,0,10018,0,20018
20,20019,0,10019,0,30019,0,10019,0,20019
21,20020,0,10020,0,30020,0,10020,0,20020
22,20021,0,10021,0,30021,0,10021,0,20021
23,20022,0,10022,0,30022,0,10022,0,20022
24,20023,0,10023,0,30023,0,10023,0,20023
25,20024,0,10024,0,30024,0,10024,0,20024
26,20025,0,10025,0,30025,0,10025,0,20025
27,20026,0,10026,0,30026,0,10026,0,20026
28,20027,0,10027,0,30027,0,10027,0,20027
29,20028,0,10028,0,30028,0,10028,0,20028
30,20029,0,10029,0,30029,0,10029,0,20029
31,20030,0,10030,0,30030,0,10030,0,20030
32,20031,0,10031,0,30031,0,10031,0,20031
33,20032,0,10032,0,30032,0,10032,0,20032
34,20033,0,10033,0,30033,0,10033,0,20033
35,20034,0,10034,0,30034,0,10034,0,20034
36,20035,0,10035,0,30035,0,10035,0,20035
37,20036,0,10036,0,30036,0,10036,0,20036
38,20037,0,10037,0,30037,0,10037,0,20037
39,20038,0,10038,0,30038,0,10038,0,20038
40,20039,0,10039,0,30039,0,10039,0,20039
41,20040,0,10040,0,30040,0,10040,0,20040
42,20041,0,10041,0,30041,0,10041,0,20041
43,20042,0,10042,0,30042,0,10042,0,20042
44,20043,0,10043,0,30043,0,10043,0,20043
45,20044,0,10044,0,30044,0,10044,0,20044
46,20045,0,10045,0,30045,0,10045,0,20045
47,20046,0,10046,0,30046,0,10046,0,20046
48,20047,0,10047,0,30047,0,10047,0,20047
49,20048,0,10048,0,30048,0,10048,0,20048
50,20049,0,10049,0,30049,0,10049,0,20049
51,20050,0,10050,0,30050,0,10050,0,20050
52,20051,0,10051,0,30051,0,10051,0,20051
53,20052,0,10052,0,30052,0,10052,0,20052
54,20053,0,10053,0,30053,0,10053,0,20053
55,20054,0,10054,0,30054,0,10054,0,20054
56,20055,0,10055,0,30055,0,10055,0,20055
57,20056,0,10056,0,30056,0,10056,0,20056
58,20057,0,10057,0,30057,0,10057,0,20057
59,20058,0,10058,0,30058,0,10058,0,20058
60,20059,0,10059,0,30059,0,10059,0,20059
61,20060,0,10060,0,30060,0,10060,0,20060
62,20061,0,10061,0,30061,0,10061,0,20061
63,20062,0,10062,0,30062,0,10062,0,20062
64,20063,0,10063,0,30063,0,10063,0,20063
65,20064,0,10064,0,30064,0,10064,0,20064
66,20065,0,10065,0,30065,0,10065,0,20065
67,20066,0,10066,0,30066,0,10066,0,20066
68,20067,0,10067,0,30067,0,10067,0,20067
69,20068,0,10068,0,30068,0,10068,0,20068
70,20069,0,10069,0,30069,0,10069,0,20069
71,20070,0,10070,0,30070,0,10070,0,20070
72,20071,0,10071,0,30071,0,10071,0,20071
73,20072,0,10072,0,30072,0,10072,0,20072
74,20073,0,10073,0,30073,0,10073,0,20073
75,20074,0,10074,0,30074,0,10074,0,20074
76,20075,0,10075,0,30075,0,10075,0,20075
77,20076,0,10076,0,30076,0,10076,0,20076
78,20077,0,10077,0,30077,0,10077,0,20077
79,20078,0,10078,0,30078,0,10078,0,20078
80,20079,0,10079,0,30079,0,10079,0,20079
81,20080,0,10080,0,30080,0,10080,0,20080
82,20081,0,10081,0,30081,0,10081,0,20081
83,20082,0,10082,0,30082,0,10082,0,20082
84,20083,0,10083,0,30083,0,10083,0,20083
85,20084,0,10084,0,30084,0,10084,0,20084
86,20085,0,10085,0,30085,0,10085,0,20085
87,20086,0,10086,0,30086,0,10086,0,20086
88,20087,0,10087,0,30087,0,10087,0,20087
89,20088,0,10088,0,30088,0,10088,0,20088
90,20089,0,10089,0,30089,0,10089,0,20089
91,20090,0,10090,0,30090,0,10090,0,20090
92,20091,0,10091,0,30091,0,10091,0,20091
93,20092,0,10092,0,30092,0,10092,0,20092
94,20093,0,10093,0,30093,0,10093,0,20093
95,20094,0,10094,0,30094,0,10094,0,20094
96,20095,0,10095,0,30095,0,10095,0,20095
97,20096,0,10096,0,30096,0,10096,0,20096
98,20097,0,10097,0,30097,0,10097,0,20097
99,20098,0,10098,0,30098,0,10098,0,20098
100,20099,0,10099,0,30099,0,10099,0,20099
