1,534
2,987
3,1650
4,2613
5,3996
6,4968
7,7659
8,10350
9,13041
10,15732
11,18423
12,23805
13,29187
14,34569
15,39256
16,44500
17,46258
18,49342
19,50088
20,56277
21,62466
22,75721
23,85573
24,100675
25,115792
26,144417
27,163599
28,182796
29,211353
30,239895
31,499530
32,575061
33,650592
34,744828
35,839064
36,997773
37,1156265
38,1314261
39,1473161
40,1630917
41,1789008
42,1987315
43,2184376
44,2383064
45,2580329
46,2801178
47,2998416
48,3196680
49,3394511
50,3591866
51,3789469
52,4035876
53,4284263
54,4531162
55,4778288
56,5025602
57,5272117
58,5519844
59,5766694
60,6013696
61,6260808
62,6656548
63,7052660
64,7447918
65,7842071
66,8237909
67,8730716
68,9224045
69,9719563
70,10212387
71,10705617
72,11469752
73,12209704
74,12952449
75,13692050
76,14432278
77,15173182
78,15912428
79,16652131
80,17394838
81,18135583
82,19121393
83,20110243
84,21096634
85,22086317
86,23073237
87,24060462
88,25047836
89,26035460
90,27023337
91,28007567
92,29492099
93,30974554
94,32459539
95,33942955
96,35424804
97,36905137
98,38389473
99,39872798
100,41355016
