0,20400001,100,1
0,20300005,100,1
0,52000001,100,1
0,51000001,100,1
0,50000001,100,1
0,40200001,10,1
0,40190001,10,1
0,40180001,10,1
0,40170001,10,1
0,40160001,10,1
0,40150001,10,1
0,40140001,10,1
0,40130001,10,1
0,40120001,10,1
0,40110001,10,1
0,40100001,10,1
0,40090001,10,1
0,40080001,10,1
0,40070001,10,1
0,40060001,10,1
0,40050001,10,1
0,40040001,10,1
0,40030001,10,1
0,40020001,10,1
0,40010001,10,1
1,40200001,10,1
1,40190001,10,1
1,40180001,10,1
1,40170001,10,1
1,40160001,10,1
1,40150001,10,1
1,40140001,10,1
1,40130001,10,1
1,40120001,10,1
1,40110001,10,1
1,40100001,10,1
1,40090001,10,1
1,40080001,10,1
1,40070001,10,1
1,40060001,10,1
1,40050001,10,1
1,40040001,10,1
1,40030001,10,1
1,40020001,10,1
1,40010001,10,1
1,20300006,10,1
1,20300013,10,1
1,90001001,10,1
1,90001004,10,1
1,90001005,10,1
1,90001006,10,1
2,20300011,10,1
2,20300014,10,1
2,20300016,10,1
2,90001007,10,1
2,90001008,10,1
2,90001009,10,1
2,20300006,20,1
2,20300013,20,1
3,90001010,20,1
3,90001011,20,1
3,90001012,20,1
3,90001013,15,1
3,90001014,15,1
3,90001015,15,1
3,90001016,12,1
3,90001017,12,1
3,90001018,12,1
3,90001019,10,1
3,90001020,10,1
3,90001021,10,1
3,90001022,7,1
3,90001023,7,1
3,90001024,7,1
3,90001025,5,1
3,90001026,5,1
3,90001027,5,1
3,90001028,3,1
3,90001029,3,1
3,90001030,3,1
3,40200002,20,1
3,40190002,20,1
3,40180002,20,1
3,40170002,20,1
3,40160002,20,1
3,40150002,20,1
3,40140002,20,1
3,40130002,20,1
3,40120002,20,1
3,40110002,20,1
3,40100002,20,1
3,40090002,20,1
3,40080002,20,1
3,40070002,20,1
3,40060002,20,1
3,40050002,20,1
3,40040002,20,1
3,40030002,20,1
3,40020002,20,1
3,40010002,20,1
3,20300012,5,1
3,20300015,5,1
3,20300017,5,1
3,20300018,3,1
3,20300019,1,1
