1,50
2,100
3,5
4,50
5,1500
6,20
7,60
8,50
9,3
10,2
11,5
12,30
13,15
14,5
15,5
16,10
17,10
18,1
19,3
20,1
21,1
22,50
23,0
24,10
25,10
26,10
27,8
28,10
29,25
30,6
31,20
32,10000
33,150
34,100
35,20
36,1
37,10
38,30
39,60
40,100
41,180
42,800
43,300
44,100
45,1
46,10
47,10
48,5
49,15
50,20
51,900
52,3
53,100
54,60
55,100
56,160
57,140
58,200
59,50
60,80
61,100
62,10000
63,10
64,50
65,1
66,10
67,221
68,20
69,99
70,10
71,5
72,15
73,15
74,15
75,3
76,20
77,2
78,10
79,1140
80,20
81,30
82,45
83,60
84,80
85,200
86,300
87,500
88,800
89,1200
90,280
91,240
92,200
93,170
94,140
95,120
96,100
97,480
98,390
99,315
100,255
101,210
102,180
103,150
104,10
105,15
106,15
107,15
108,15
109,15
110,15
111,15
112,50
113,15
114,100
