0,0,0,0,0,150,0,0,1,15,3,3,0,0,1,0,3,3,3
1,30,100000,0,0,160,0,1,2,15,3,3,0,0,2,0,6,3,6
2,50,0,0,100,160,0,1,3,15,3,3,0,0,2,0,9,3,9
3,100,1000000,0,0,170,0,1,4,20,3,3,1,0,2,1,12,3,12
4,200,0,0,0,170,0,1,5,20,3,3,1,1,3,1,15,3,15
5,500,0,500,500,180,1,2,6,20,4,3,2,1,3,2,18,5,18
6,1000,0,0,0,180,1,2,7,20,4,3,2,1,3,2,21,5,21
7,3000,3000000,0,0,180,1,2,8,20,4,3,2,1,4,2,24,5,24
8,6000,0,1000,1000,190,1,2,9,20,4,3,3,2,4,2,27,5,27
9,10000,0,0,0,190,1,2,10,20,5,3,3,2,4,2,30,5,30
10,15000,0,0,0,200,1,3,11,25,5,3,3,2,5,3,35,7,33
11,30000,0,0,0,200,1,3,12,25,5,3,3,2,5,3,40,7,36
12,50000,0,0,0,200,1,3,13,25,5,3,3,3,5,3,50,7,39
