4,宝箱,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,544101,544004,15,15,20
5,璐璐,2,1,0,1,1,1,0,0,25,24,25,19,48,42,40,62,0,0,0,120,1,1,1,1,0,10,34,0,600002,601003,-1,0,1,0,0,1,544101,544004,15,15,20
6,盗贼刀兵,1,2,0,1,0,0,1,0,22,22,22,19,106,64,66,96,0,0,0,120,1,10,118,100,0,10,34,0,600002,601003,-1,1,1,0,1,2,544101,544004,15,15,20
7,盗贼刀兵,1,3,0,1,0,0,0,1,22,22,22,19,119,73,74,106,0,0,0,120,1,10,118,100,0,10,34,0,600002,601003,-1,1,1,0,1,3,544101,544004,15,15,20
8,盗贼刀兵,1,4,0,1,0,1,0,0,22,22,22,19,119,40,40,40,0,0,0,120,10,10,118,100,0,10,34,0,600002,601003,-1,1,1,0,1,1,544101,544004,15,15,20
9,德鲁夫,1,5,0,1,1,0,1,0,25,25,25,19,343,82,83,116,0,0,0,120,10,10,118,100,0,10,34,0,600000,601003,-1,0,0,0,0,2,544101,544004,15,20,30
10,盗贼刀兵,1,4,0,1,0,0,0,1,22,22,22,19,119,73,74,106,0,0,0,120,10,10,118,100,0,10,34,0,600002,601003,-1,1,1,0,1,3,544101,544004,15,15,20
11,盗贼刀兵,1,4,0,1,0,1,0,0,22,22,22,19,133,79,74,106,0,0,0,120,10,10,118,100,0,10,34,0,600002,601003,-1,1,1,0,1,1,544101,544004,15,15,20
12,工厂守卫,1,5,0,1,0,0,1,0,22,22,22,19,388,86,93,177,0,0,0,300,10,10,118,100,0,10,34,0,600002,601001,-1,0,1,0,1,2,544101,544001,15,15,20
13,工厂守卫,1,6,0,1,0,0,0,1,22,22,22,19,378,91,96,181,0,0,0,300,10,10,118,100,0,10,34,0,600002,601001,-1,0,1,0,1,3,544101,544001,15,15,20
14,罗宾汉,3,7,0,1,1,1,0,0,28,27,27,36,819,155,161,201,33,34,46,300,80,300,118,100,0,10,34,0,600001,601000,-1,1,1,0,0,1,544101,544004,20,25,30
15,盗贼刀兵,1,8,0,1,0,0,1,0,22,22,22,20,440,114,123,247,0,0,0,300,30,10,10,100,0,10,34,0,600002,601003,-1,1,1,0,1,2,544101,544004,15,15,20
16,工厂守卫,1,8,0,1,0,0,0,1,22,22,22,25,440,114,123,247,0,0,0,300,30,10,10,100,0,10,34,0,600002,601003,-1,0,1,0,1,3,544101,544004,15,15,20
17,盗贼刀兵,1,8,0,1,0,1,0,0,22,22,22,20,440,114,123,247,0,0,0,300,30,10,20,100,0,10,34,0,600002,601003,-1,1,1,0,1,1,544101,544004,15,15,20
18,工厂守卫,1,8,0,1,0,0,1,0,22,22,22,25,440,114,123,247,0,0,0,300,30,10,20,100,0,10,34,0,600002,601003,-1,0,1,0,1,2,544101,544004,15,15,20
19,侏儒炮手,2,9,0,1,0,0,0,1,22,22,22,20,462,126,128,256,0,0,0,300,30,30,118,100,0,10,34,0,600004,601001,-1,1,1,0,0,3,544101,544004,15,15,20
20,侏儒炮手,2,9,0,1,0,1,0,0,22,22,22,25,462,126,128,256,0,0,0,800,30,30,118,100,0,10,34,0,600004,601001,-1,1,1,0,0,1,544101,544004,15,15,20
21,盗贼刀兵,1,9,0,1,0,0,1,0,22,22,22,20,462,126,128,256,0,0,0,800,30,30,118,100,0,10,34,0,600002,601003,-1,1,1,0,1,2,544101,544004,15,15,20
22,盗贼刀兵,1,9,0,1,0,0,0,1,22,22,22,25,462,126,128,256,0,0,0,800,30,30,118,100,0,10,34,0,600002,601003,-1,1,1,0,1,3,544101,544004,15,15,20
23,德鲁夫,1,9,0,1,1,1,0,0,32,32,32,35,1924,299,306,311,41,42,57,800,30,300,118,100,0,10,34,0,600000,601017,-1,0,0,0,0,1,544405,544409,20,30,30
24,盗贼刀兵,1,10,0,1,0,0,1,0,25,25,25,25,487,171,181,266,0,0,0,800,30,30,118,100,0,10,34,0,600002,601003,-1,1,1,0,1,2,544101,544004,15,15,20
25,工厂守卫,1,10,0,1,0,0,0,1,25,22,25,25,487,171,181,266,0,0,0,800,30,30,118,100,0,10,34,0,600002,601003,-1,0,1,0,1,3,544101,544004,15,15,20
26,工厂守卫,1,10,0,1,0,1,0,0,25,19,25,25,487,171,181,266,0,0,0,800,30,30,118,100,0,10,34,0,600002,601003,-1,0,1,0,1,1,544101,544004,15,15,20
27,侏儒炮手,2,10,0,1,0,0,1,0,25,16,25,25,587,171,181,266,0,0,0,800,30,30,118,100,0,10,34,0,600004,601000,-1,1,1,0,0,2,544101,544004,15,15,20
