1,50001
2,50002
3,50003
4,50004
5,50005
6,50006
7,50007
8,50008
9,50009
10,50010
11,50011
12,50012
13,50013
14,50014
15,50015
16,50016
17,50017
18,50018
19,50019
20,50020
21,50021
22,50022
23,50023
24,50024
25,50025
26,50026
27,50027
28,50028
29,50029
30,50030
31,50031
32,50032
33,50033
34,50034
35,50035
36,50036
37,50037
38,50038
39,50039
40,50040
41,50041
42,50042
43,50043
44,50044
45,50045
46,50046
47,50047
48,50048
49,50049
50,50050
51,50051
52,50052
53,50053
54,50054
55,50055
56,50056
57,50057
58,50058
59,50059
60,50060
61,50061
62,50062
63,50063
64,50064
65,50065
66,50066
67,50067
68,50068
69,50069
70,50070
71,50071
72,50072
73,50073
74,50074
75,50075
76,50076
77,50077
78,50078
79,50079
80,50080
81,50081
82,50082
83,50083
84,50084
85,50085
86,50086
87,50087
88,50088
89,50089
90,50090
91,50091
92,50092
93,50093
94,50094
95,50095
96,50096
97,50097
98,50098
99,50099
100,50100
