1,64,133,50,20,67,10
2,105,181,50,20,91,10
3,145,229,50,20,115,10
4,186,277,50,20,139,10
5,226,325,50,20,163,10
6,267,373,50,20,187,10
7,307,420,50,20,210,10
8,348,468,50,20,234,10
9,388,516,50,20,258,10
10,429,564,50,20,282,10
11,469,612,50,20,306,10
12,523,660,50,20,330,10
13,577,707,50,20,354,10
14,631,755,50,20,378,10
15,685,803,50,20,402,10
16,739,851,50,20,426,10
17,793,899,50,20,450,10
18,847,947,50,20,474,10
19,901,995,50,20,498,10
20,955,1042,50,20,521,10
21,1009,1090,50,20,545,10
22,1081,1138,50,20,569,10
23,1153,1186,50,20,593,10
24,1225,1234,50,20,617,10
25,1297,1282,50,20,641,10
26,1369,1329,50,20,665,10
27,1441,1377,50,20,689,10
28,1513,1425,50,20,713,10
29,1585,1473,50,20,737,10
30,1657,1521,50,20,761,10
31,1729,1569,50,20,785,10
32,1825,1616,50,20,808,10
33,1921,1664,50,20,832,10
34,2017,1712,50,20,856,10
35,2113,1760,50,20,880,10
36,2209,1808,50,20,904,10
37,2305,1856,50,20,928,10
38,2401,1904,50,20,952,10
39,2497,1951,50,20,976,10
40,2593,1999,50,20,1000,10
41,2689,2047,50,20,1024,10
42,2817,2095,50,20,1048,10
43,2945,2143,50,20,1072,10
44,3073,2191,50,20,1096,10
45,3201,2238,50,20,1119,10
46,3329,2286,50,20,1143,10
47,3457,2334,50,20,1167,10
48,3585,2382,50,20,1191,10
49,3713,2430,50,20,1215,10
50,3841,2478,50,20,1239,10
51,3969,2525,50,20,1263,10
52,4161,2573,50,20,1287,10
53,4353,2621,50,20,1311,10
54,4545,2669,50,20,1335,10
55,4737,2717,50,20,1359,10
56,4929,2765,50,20,1383,10
57,5121,2813,50,20,1407,10
58,5313,2860,50,20,1430,10
59,5505,2908,50,20,1454,10
60,5697,2956,50,20,1478,10
61,5889,3004,50,20,1502,10
62,6177,3052,50,20,1526,10
63,6465,3100,50,20,1550,10
64,6753,3147,50,20,1574,10
65,7041,3195,50,20,1598,10
66,7329,3243,50,20,1622,10
67,7617,3291,50,20,1646,10
68,7905,3339,50,20,1670,10
69,8193,3387,50,20,1694,10
70,8481,3435,50,20,1718,10
71,8769,3482,50,20,1741,10
72,9201,3530,50,20,1765,10
73,9633,3578,50,20,1789,10
74,10065,3626,50,20,1813,10
75,10497,3674,50,20,1837,10
76,10929,3722,50,20,1861,10
77,11361,3769,50,20,1885,10
78,11793,3817,50,20,1909,10
79,12225,3865,50,20,1933,10
80,12657,3913,50,20,1957,10
81,13089,3961,50,20,1981,10
82,13737,4009,50,20,2005,10
83,14385,4056,50,20,2028,10
84,15033,4104,50,20,2052,10
85,15681,4152,50,20,2076,10
86,16329,4200,50,20,2100,10
87,16977,4248,50,20,2124,10
88,17625,4296,50,20,2148,10
89,18273,4344,50,20,2172,10
90,18921,4391,50,20,2196,10
91,19569,4439,50,20,2220,10
92,20865,4487,50,20,2244,10
93,22161,4535,50,20,2268,10
94,23457,4583,50,20,2292,10
95,24753,4631,50,20,2316,10
96,26049,4678,50,20,2339,10
97,27345,4726,50,20,2363,10
98,28641,4774,50,20,2387,10
99,29937,4822,50,20,2411,10
100,31233,4870,50,20,2435,10
